@relation training_tutorial1-weka.filters.unsupervised.attribute.Remove-R24

@attribute pmPositionX numeric
@attribute pmPositionY numeric
@attribute legalNorth {True,False}
@attribute legalSouth {True,False}
@attribute legalWest {True,False}
@attribute legalEast {True,False}
@attribute g0PositionX numeric
@attribute g0PositionY numeric
@attribute g0Distance numeric
@attribute g0Direction {Stop,North,South,West,East}
@attribute g1PositionX numeric
@attribute g1PositionY numeric
@attribute g1Distance numeric
@attribute g1Direction {Stop,North,South,West,East}
@attribute g2PositionX numeric
@attribute g2PositionY numeric
@attribute g2Distance numeric
@attribute g2Direction {Stop,North,South,West,East}
@attribute g3PositionX numeric
@attribute g3PositionY numeric
@attribute g3Distance numeric
@attribute g3Direction {Stop,North,South,West,East}
@attribute scoreCurrent numeric
@attribute pmDirection {North,South,West,East}

@data
4,9,False,True,True,True,6,5,10,Stop,6,9,2,Stop,8,11,6,Stop,14,6,13,Stop,-5,East
5,9,True,True,True,True,6,5,9,Stop,6,9,1,Stop,8,11,5,Stop,14,6,12,Stop,-6,East
6,9,True,True,True,True,6,5,8,Stop,1000000,1000000,1000000,?,8,11,4,Stop,14,6,11,Stop,193,East
6,10,True,True,True,False,6,5,9,Stop,1000000,1000000,1000000,?,8,11,3,Stop,14,6,12,Stop,192,North
6,11,False,True,True,True,6,5,10,Stop,1000000,1000000,1000000,?,8,11,2,Stop,14,6,13,Stop,191,North
7,11,False,False,True,True,6,5,11,Stop,1000000,1000000,1000000,?,8,11,1,Stop,14,6,12,Stop,190,East
8,11,False,False,True,True,6,5,12,Stop,1000000,1000000,1000000,?,1000000,1000000,1000000,?,14,6,11,Stop,389,East
9,11,False,False,True,True,6,5,11,Stop,1000000,1000000,1000000,?,1000000,1000000,1000000,?,14,6,10,Stop,388,East
10,11,False,True,True,True,6,5,10,Stop,1000000,1000000,1000000,?,1000000,1000000,1000000,?,14,6,9,Stop,387,East
10,10,True,True,False,True,6,5,9,Stop,1000000,1000000,1000000,?,1000000,1000000,1000000,?,14,6,8,Stop,386,South
10,9,True,True,True,True,6,5,8,Stop,1000000,1000000,1000000,?,1000000,1000000,1000000,?,14,6,7,Stop,385,South
11,9,True,False,True,True,6,5,9,Stop,1000000,1000000,1000000,?,1000000,1000000,1000000,?,14,6,6,Stop,384,East
12,9,False,True,True,True,6,5,10,Stop,1000000,1000000,1000000,?,1000000,1000000,1000000,?,14,6,5,Stop,383,East
12,8,True,True,False,True,6,5,11,Stop,1000000,1000000,1000000,?,1000000,1000000,1000000,?,14,6,4,Stop,382,South
12,7,True,False,False,True,6,5,12,Stop,1000000,1000000,1000000,?,1000000,1000000,1000000,?,14,6,3,Stop,381,South
13,7,True,False,True,True,6,5,11,Stop,1000000,1000000,1000000,?,1000000,1000000,1000000,?,14,6,2,Stop,380,East
